Date,Diversion_af,MeasuredReturns_af,UnmeasuredReturns_af,ConsumptiveUse_af
1/1/2024,183861,40550,1856,149641
2/1/2024,199797,38481,4707,165737
3/1/2024,338110,30092,6986,309551
4/1/2024,423508,29786,7663,395405
5/1/2024,501882,33904,8707,469877
6/1/2024,484478,31709,8697,452004
7/1/2024,468639,42224,9077,428104
8/1/2024,375360,41508,9468,336009
9/1/2024,336089,48732,8449,293261
10/1/2024,443086,56866,7558,386957
11/1/2024,336379,42930,5378,301289
12/1/2024,287521,42637,4249,255906
1/1/2023,192000,36273,3208,161350
2/1/2023,213164,38026,6178,177106
3/1/2023,365304,34330,6345,330272
4/1/2023,412379,35401,9061,380451
5/1/2023,507330,45899,10109,460698
6/1/2023,471575,41453,10002,431045
7/1/2023,442486,39537,8981,401329
8/1/2023,356350,44938,8527,316486
9/1/2023,344506,47737,7744,300630
10/1/2023,349666,51042,8298,298506
11/1/2023,281223,53029,4527,233464
12/1/2023,248519,42878,3621,207818
1/1/2022,283765,37583,3848,254642
2/1/2022,252691,38677,6518,215646
3/1/2022,471000,45343,7886,426153
4/1/2022,523312,54088,9306,471607
5/1/2022,572674,61223,9790,505422
6/1/2022,535191,56357,9670,479740
7/1/2022,509338,55787,9068,453452
8/1/2022,438778,56614,8476,383778
9/1/2022,387604,46028,9341,343440
10/1/2022,384264,48201,6919,338310
11/1/2022,338263,44432,4566,295652
12/1/2022,291290,43581,3951,256405
1/1/2021,213484,35877,2626,181235
2/1/2021,217929,39347,5078,184504
3/1/2021,463641,46412,7460,418449
4/1/2021,517148,49880,8899,469090
5/1/2021,550208,53482,9286,502162
6/1/2021,536191,59773,8853,476717
7/1/2021,543469,70954,9455,471768
8/1/2021,500300,74950,9203,428707
9/1/2021,431392,63639,8641,375258
10/1/2021,406798,50276,7135,360112
11/1/2021,321746,46182,4482,284082
12/1/2021,288418,43770,3446,252643
1/1/2020,188644,43639,4014,157468
2/1/2020,211482,39208,4910,179814
3/1/2020,255341,43287,5751,217744
4/1/2020,400651,38104,8658,369932
5/1/2020,530327,40713,8890,490854
6/1/2020,523986,50278,9262,476397
7/1/2020,525293,50590,9634,471224
8/1/2020,469527,53646,9887,419801
9/1/2020,434836,56557,8779,377851
10/1/2020,420589,61989,7779,357823
11/1/2020,327214,49956,4764,284572
12/1/2020,290967,42545,4039,256431
1/1/2019,227696,34844,3006,202959
2/1/2019,215843,29236,4380,188497
3/1/2019,338951,32614,6547,309787
4/1/2019,418197,33949,7246,390512
5/1/2019,498171,44466,8168,456030
6/1/2019,481414,41371,8478,441070
7/1/2019,505386,40685,9591,461068
8/1/2019,492964,55909,9351,439355
9/1/2019,416500,58452,8679,358511
10/1/2019,354686,57426,8906,296792
11/1/2019,207226,44806,4458,166174
12/1/2019,172391,48404,2994,129931
1/1/2018,204753,36871,3125,177404
2/1/2018,247423,34398,4829,217310
3/1/2018,382222,34367,7139,354906
4/1/2018,469245,30125,8271,441875
5/1/2018,519660,35604,8452,488852
6/1/2018,503704,36814,8508,472247
7/1/2018,496684,37521,8234,464248
8/1/2018,495628,38938,10532,464815
9/1/2018,423232,39635,8464,388710
10/1/2018,375536,43904,5642,339339
11/1/2018,315454,44954,5152,286089
12/1/2018,205462,41230,3430,169730
1/1/2017,185180,40199,2302,154193
2/1/2017,214191,38338,4331,183907
3/1/2017,369697,40167,6521,337284
4/1/2017,431303,36222,7778,399845
5/1/2017,451817,38605,8276,417226
6/1/2017,476961,39269,8903,438278
7/1/2017,467514,39108,8706,428840
8/1/2017,430913,38239,9547,392519
9/1/2017,377606,43828,7570,326208
10/1/2017,410181,40938,7027,362216
11/1/2017,334340,43733,4713,296444
12/1/2017,318284,39113,4248,289555
1/1/2016,246627,31132,2985,223907
2/1/2016,272372,38087,4564,248525
